date,ticker,price
2/24/14,dis,78.183102
2/25/14,dis,77.679503
2/26/14,dis,77.553607
2/27/14,dis,77.94099
2/28/14,dis,78.260573
03/03/2014,dis,76.953165
03/04/2014,dis,79.132181
03/05/2014,dis,80.07158
03/06/2014,dis,80.710754
03/07/2014,dis,79.616407
03/10/2014,dis,79.38398
03/11/2014,dis,78.493007
03/12/2014,dis,78.81259
3/13/14,dis,77.408338
3/14/14,dis,77.543921
3/17/14,dis,78.822277
3/18/14,dis,79.403346
3/19/14,dis,77.979721
3/20/14,dis,78.260573
3/21/14,dis,77.815086
3/24/14,dis,76.982217
3/25/14,dis,77.040329
3/26/14,dis,76.139669
3/27/14,dis,76.004086
3/28/14,dis,76.497991
3/31/14,dis,77.543921
04/01/2014,dis,78.996598
04/02/2014,dis,79.093442
04/03/2014,dis,79.112815
04/04/2014,dis,77.892564
04/07/2014,dis,76.633574
04/08/2014,dis,77.059695
04/09/2014,dis,77.931303
04/10/2014,dis,75.064687
04/11/2014,dis,74.580461
4/14/14,dis,75.171217
4/15/14,dis,75.209956
4/16/14,dis,76.459252
4/17/14,dis,77.466443
4/21/14,dis,76.614208
4/22/14,dis,76.943478
4/23/14,dis,77.01127
4/24/14,dis,77.079061
4/25/14,dis,75.761973
4/28/14,dis,75.326166
4/29/14,dis,76.159035
4/30/14,dis,76.836948
05/01/2014,dis,77.050008
05/02/2014,dis,77.776347
05/05/2014,dis,78.657642
05/06/2014,dis,78.473634
05/07/2014,dis,77.756981
05/08/2014,dis,79.025651
05/09/2014,dis,79.364607
05/12/2014,dis,79.819781
5/13/14,dis,79.490511
5/14/14,dis,78.367103
5/15/14,dis,77.621399
5/16/14,dis,77.853825
5/19/14,dis,78.493007
5/20/14,dis,78.531738
5/21/14,dis,79.597041
5/22/14,dis,79.751989
5/23/14,dis,80.691389
5/27/14,dis,81.098137
5/28/14,dis,80.962554
5/29/14,dis,81.378988
5/30/14,dis,81.359623
06/02/2014,dis,81.611415
06/03/2014,dis,81.233719
06/04/2014,dis,81.582362
06/05/2014,dis,82.105327
06/06/2014,dis,81.940692
06/09/2014,dis,82.783248
06/10/2014,dis,82.076275
06/11/2014,dis,81.650154
06/12/2014,dis,80.187797
6/13/14,dis,80.187797
6/16/14,dis,80.672023
6/17/14,dis,80.53644
6/18/14,dis,80.943188
6/19/14,dis,81.127189
6/20/14,dis,80.207163
6/23/14,dis,80.149058
6/24/14,dis,80.07158
6/25/14,dis,81.253092
6/26/14,dis,81.785736
6/27/14,dis,82.608926
6/30/14,dis,83.03504
07/01/2014,dis,83.742013
07/02/2014,dis,83.71296
07/03/2014,dis,84.100335
07/07/2014,dis,83.858222
07/08/2014,dis,83.151257
07/09/2014,dis,84.468351
07/10/2014,dis,84.119708
07/11/2014,dis,84.148761
7/14/14,dis,84.022865
7/15/14,dis,83.432108
